src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,packet_count,avg_packet_size,min_packet_size,max_packet_size,std_packet_size,avg_inter_arrival,min_inter_arrival,max_inter_arrival,std_inter_arrival,tcp_packet_count,udp_packet_count,icmp_packet_count,tcp_syn_count,tcp_ack_count,tcp_rst_count,tcp_fin_count,is_suspicious_port,is_high_volume,has_unusual_protocol,total_bytes,bytes_per_packet_ratio,packet_rate,tcp_connection_established,label
172.16.110.50,10.0.0.156,59279,80,TCP,1.1428583229309397,7009,70.82069490062631,45.44384827108336,134.45949007235336,23.20271467537387,0.0001427139459915791,2.9008597273257945e-05,0.0005238737724897916,2.4799342853180607e-05,4970,468,0,1541,103,52,0,0,1,0,231329.85555151256,29.782013600380527,145348.37431308586,0,1
172.16.139.95,10.0.0.177,47440,80,TCP,0.8219602500342498,7028,65.26177903661967,38.11849637537502,126.77992056289233,20.615391008280906,3.748360412919456e-05,1.147404960957232e-05,0.00217489891756622,2.2706399533347355e-08,4950,490,0,1527,93,42,0,0,1,0,325995.1069764376,48.987192812984674,36254.159911575116,0,1
172.16.208.225,10.0.0.165,8172,80,TCP,1.2535570336787962,6820,61.77525103221735,40.09409524870299,138.0048093887314,19.434359737421296,5.2879041703167707e-05,4.028936906992657e-06,4.8346799252431925e-05,0.0002465122113802847,4881,488,0,1467,99,53,0,0,1,0,393440.89202719263,44.01562419418953,166933.13158941353,0,1
172.16.202.92,10.0.0.128,57942,80,TCP,0.8385800609654387,7039,84.46862195719558,34.14172826341219,117.32799387121666,13.503918182770878,2.3533035646829174e-05,6.943064871578941e-06,0.0032549336559040713,0.00018571265654170917,5010,507,0,1465,108,54,0,0,1,0,320985.2804178633,40.33412109014685,34802.21454713876,0,1
172.16.223.65,10.0.0.114,61581,80,TCP,0.5565683345556968,6960,57.250659812094476,48.47861438905433,152.41642597626097,21.163933714700818,0.0003753354972346815,1.037681953636756e-05,0.0011368207275010002,0.00013559290162094907,4985,493,0,1503,94,50,0,0,1,0,313829.07527955243,49.318765748320466,59117.986326959784,0,1
172.16.46.220,10.0.0.111,19772,80,TCP,0.28043402293391534,7106,59.96924010934969,49.486443473865556,110.4645243757631,16.21618011492037,0.00010373363318871632,7.145146654134444e-06,0.0009979780639855181,1.8370002121486782e-05,5084,473,0,1469,79,54,0,0,1,0,300427.8040412175,53.63970630852738,129835.13506207151,0,1
172.16.180.106,10.0.0.127,15046,80,TCP,0.6983450447189018,7017,83.91553302204734,40.78346864123262,162.24080568035785,9.050391475107233,0.0002726375295435406,1.27779897633922e-06,0.0003154771432260022,1.2824661166591312e-05,4999,464,0,1420,116,50,0,0,1,0,221455.92714370438,70.93197932209945,118064.77254887483,0,1
172.16.198.130,10.0.0.183,21037,80,TCP,0.2836251851467293,6972,55.679386951501435,45.11765322092673,93.04726980343477,25.972961102568654,3.6152316850808275e-05,3.7405953353877157e-06,0.00028607242028943483,6.999846564773325e-06,4908,470,0,1505,101,55,0,0,1,0,367778.6467855174,34.88116580436787,437155.939286399,0,1
172.16.105.24,10.0.0.123,39711,80,TCP,0.4361042065655695,6993,58.49884717063461,40.87643389466962,136.6954012911378,24.79192909921021,0.00015227599422540893,1.6214904055788033e-05,0.002848316556850679,0.00012874601752812197,4872,540,0,1515,95,49,0,0,1,0,269457.1180097467,61.59381043300522,25510.00443984755,0,1
172.16.3.108,10.0.0.120,16910,80,TCP,1.9759387013011374,7042,62.5297457656915,33.31637280562035,137.50861365053248,20.2583048842554,0.0001451830260048272,1.9762934034128038e-05,0.00035421006173568475,0.00026423742742292416,4962,564,0,1559,102,48,0,0,1,0,325224.16281915084,59.73101561015072,108565.03987174065,0,1
172.16.18.154,10.0.0.109,55851,80,TCP,0.9437967581225754,6971,72.4073448212955,37.940883155181716,112.08885864118236,21.145373441028514,0.00011765381070998153,1.4768831082190704e-06,0.0014939031654812721,5.630593969546578e-05,4930,516,0,1477,85,54,0,0,1,0,221848.28467143734,42.20907260623299,94079.32524898305,0,1
172.16.202.40,10.0.0.177,61840,80,TCP,1.1105563563595315,6852,66.07802507353314,40.659639833859785,136.48787875722024,25.371590063577806,0.0003370832358876579,3.044644245514908e-05,0.0004994271640815944,1.2685733888932899e-05,4915,531,0,1521,127,59,0,0,1,0,241027.01677461097,52.03235954586031,246626.29819439506,0,1
172.16.49.171,10.0.0.117,26280,80,TCP,1.7598752046007091,7042,51.07374652847737,37.72726140628278,153.5903733952032,21.121698283890414,5.0014179318807144e-05,3.9872182202595505e-06,0.00014995590612084354,7.182451578002845e-05,4915,502,0,1481,103,37,0,0,1,0,371754.3699611118,45.42366750662385,17003.19542446785,0,1
172.16.74.237,10.0.0.187,31029,80,TCP,1.9915809109323068,7036,58.6783143687281,38.90673361282482,83.66362321291871,24.520087773806573,1.4008691730201156e-05,1.0856380356598943e-05,1.0773119923591374e-05,4.289874634344016e-05,5101,489,0,1506,105,48,0,0,1,0,282634.8855521079,51.85688580418739,139351.30073144776,0,1
172.16.194.12,10.0.0.113,7662,80,TCP,1.207157453754895,7055,57.92645566787789,39.543002212454425,138.0548961498163,18.51258899563075,0.0001113854440047533,1.3936217246265252e-05,0.0007858269643247577,4.6972354743230515e-05,5066,518,0,1465,102,43,0,0,1,0,372663.7738021272,65.0913101340455,83995.16810523486,0,1
172.16.194.234,10.0.0.133,38443,80,TCP,1.643700259983926,6982,63.22778954776955,39.59560751067269,78.13458359339845,26.559918692869733,0.00013067802872182528,1.6710273710696748e-05,0.0037205277620688884,9.71091813876365e-05,4889,506,0,1511,102,51,0,0,1,0,296088.4670470741,56.05606232631313,32112.286103701892,0,1
172.16.26.113,10.0.0.157,34401,80,TCP,0.721187946239683,6946,68.25843658629829,40.26129245248742,108.68670392953584,21.603928629663418,8.558086460009314e-05,2.9141467976536857e-05,0.00046066527778676036,0.00012683979568222495,4951,449,0,1522,97,45,0,0,1,0,207905.11135210714,55.08608373233442,64328.12412387727,0,1
172.16.181.194,10.0.0.175,41732,80,TCP,0.6809135191498531,7017,68.18205755887972,34.69697466801699,160.5833272980189,20.97025971802937,2.317024407520501e-05,3.7530388739904227e-06,0.0004419097192300999,1.1721224731935042e-05,4931,498,0,1525,104,59,0,0,1,0,344603.37998658605,45.696906800453576,40613.02248539729,0,1
172.16.48.144,10.0.0.121,44140,80,TCP,0.8651370698896643,6975,46.23988245951598,36.41491925436032,116.36435933215893,13.64969455643984,7.02099012251458e-05,1.955501178144582e-05,0.0004217341611474602,3.6239002911491985e-06,5101,495,0,1469,104,43,0,0,1,0,270505.3841122196,35.15943335075665,86586.71471970726,0,1
172.16.129.60,10.0.0.169,37658,80,TCP,1.3777637990799334,6967,74.63940987560856,33.57707867150015,104.52240071182055,21.434779271508543,3.742422589800525e-05,1.4120291903516646e-06,0.0007351028117886723,0.0005172619546391402,5090,559,0,1511,94,46,0,0,1,0,334934.4406758522,47.91531789459592,219823.0580519771,0,1
172.16.181.30,10.0.0.135,17779,80,TCP,1.3961642095846878,6921,66.52568845996623,44.889077748431,124.04124542030637,15.840225412527744,5.576840791784314e-05,1.2209185978626802e-05,0.0005810064924713721,2.649143668065442e-05,4959,499,0,1499,116,49,0,0,1,0,301260.5433770041,62.06608154863915,84235.50598058522,0,1
172.16.83.166,10.0.0.144,24406,80,TCP,0.6989549258339565,6970,77.84532047593906,29.471765290798377,169.35812676327106,16.808586367357528,0.00010362533857365595,1.3547093780726189e-05,0.002119552345214817,5.533357683015852e-06,4978,536,0,1485,105,42,0,0,1,0,222844.0886028565,34.72832143410352,99891.83271273994,0,1
172.16.27.25,10.0.0.135,50791,80,TCP,0.35309885585959455,6901,68.44198327290673,45.767951716584626,91.36635505587948,15.923121858419394,0.00013673342168122135,1.132344603221023e-05,0.0007042501747557836,2.1056712846290917e-05,5008,518,0,1469,90,64,0,0,1,0,308214.7382685284,39.44910631823305,73136.39198622727,0,1
172.16.95.125,10.0.0.121,57087,80,TCP,1.3015528872844664,6983,75.01322957735762,46.93174698631422,106.9738017672131,14.668825340503876,2.6425815491811813e-05,2.907731597904565e-06,0.0007087844847762061,3.9737006612217815e-06,5036,490,0,1468,99,49,0,0,1,0,409811.15710763994,51.26267736234068,5252.089647272541,0,1
172.16.9.188,10.0.0.177,23418,80,TCP,0.3438191381586526,7033,68.66545311450128,38.489097065086895,157.94863366359252,30.62385701508481,5.19740847616342e-05,2.0639079905255403e-05,0.00014893118562461444,4.9726941678515667e-05,4965,526,0,1494,103,39,0,0,1,0,324649.322925723,40.153452151527375,26508.408376392214,0,1
172.16.41.40,10.0.0.179,3277,80,TCP,1.199135765635727,7030,77.46225756202747,26.984314560863506,165.15404687075466,26.656695309942016,3.135628710108327e-05,1.8495517777572182e-06,0.004059336995209323,0.00016215195243332565,5059,508,0,1494,95,45,0,0,1,0,297124.11234972684,42.07476552884788,67727.72358033138,0,1
172.16.224.77,10.0.0.160,38734,80,TCP,1.4175020433069871,7030,69.22250636017779,38.193447190163546,125.93137551419431,29.601837510721307,2.214345298510212e-05,5.512672895569121e-07,0.000287645927596787,4.174027537468337e-05,5027,522,0,1505,91,32,0,0,1,0,353767.1700978449,45.76401418271823,37140.473047581494,0,1
172.16.247.105,10.0.0.199,46122,80,TCP,1.4311618431494582,6917,63.02084753557096,39.67907919355591,103.21894594946716,13.88552490222218,0.00015296439433665465,1.2639528090364834e-05,7.619452783889089e-05,5.873169076364022e-05,5008,493,0,1560,90,56,0,0,1,0,310533.42326015554,36.343825958098506,20060.398383999163,0,1
172.16.117.42,10.0.0.155,1888,80,TCP,1.531597010253234,7020,86.72434720446881,34.947008900355435,169.91687003618318,20.356268749554463,0.00023996764970437133,6.452635514220833e-06,0.00108810641604361,0.00011257371855851006,4978,494,0,1500,98,49,0,0,1,0,310476.7115131397,40.25878153783631,70144.72145775823,0,1
172.16.46.165,10.0.0.188,35060,80,TCP,1.7584329009747626,6980,72.89037122279892,37.423908030958785,159.88884783498395,13.532461873979521,4.624040762330013e-05,1.891124791748205e-05,0.0009047732389603811,7.11095431218309e-05,4835,497,0,1523,98,48,0,0,1,0,245418.74139204487,57.03427916787309,38980.30905050024,0,1
172.16.245.208,10.0.0.195,41246,80,TCP,1.0499220847330981,6907,69.73744421004413,47.65097599431676,141.57893975524465,16.52152561401468,0.00013914231885938644,4.835301269178374e-06,0.0005363924439354222,0.0001976492871538066,4973,491,0,1498,114,56,0,0,1,0,311692.4012894799,36.92630217769036,29855.1118000952,0,1
172.16.236.22,10.0.0.132,14690,80,TCP,1.4874734601061852,6921,51.23695583461664,43.324635811508706,111.7519530212516,15.409365082917127,0.0002272980557472178,1.8425773618939915e-06,0.0005485140501969201,0.00020101817461619224,4934,477,0,1555,101,49,0,0,1,0,351772.17082084727,34.021278655051624,62359.39120134726,0,1
172.16.184.212,10.0.0.144,59152,80,TCP,1.2764281971950897,6935,51.11692382536462,35.3771794281095,127.01941318323927,26.197920032207808,0.00018716095638991723,1.8105887882580393e-05,0.0015374146022517226,9.96013334727755e-07,5140,503,0,1505,97,49,0,0,1,0,258196.89239499875,43.69975020466106,14304.42199540243,0,1
172.16.241.107,10.0.0.135,21979,80,TCP,0.45461588561559685,7010,66.92715482141854,32.01200415202284,124.79279837910339,18.0188516094912,2.0188779960316124e-05,7.960875862478974e-06,0.00021779866084853275,0.0001505286506629469,5051,486,0,1499,105,46,0,0,1,0,371224.79106234736,57.31955502509846,262756.3895953608,0,1
172.16.26.41,10.0.0.119,46162,80,TCP,0.1488103252518755,7092,65.45521197768241,38.36491341195114,134.61702609231156,25.34189666847008,0.00031302214164088515,2.0972867496333557e-06,0.0017162067467789283,6.175455820133718e-05,5054,499,0,1510,120,50,0,0,1,0,295414.69879274373,48.0307819200311,202269.9065275232,0,1
172.16.79.162,10.0.0.117,39021,80,TCP,0.6406286327861741,6968,57.858774349916835,38.932716103247806,157.02002876262674,23.02060444794259,4.726895377579066e-05,1.2743380405978254e-05,0.0010462488416989508,0.0004495467827117786,5023,555,0,1498,95,41,0,0,1,0,255611.52442307296,45.354189218843814,122970.29562543074,0,1
172.16.159.218,10.0.0.137,17333,80,TCP,0.9417640420414768,7008,65.4098269961206,42.48099593681658,145.58834082274805,31.518193760523943,4.1436559192200134e-05,7.156252060629814e-06,0.0005429524990075902,6.601613947623754e-05,4924,498,0,1443,90,45,0,0,1,0,349881.6038460122,50.44358797515607,11228.871316461362,0,1
172.16.88.66,10.0.0.166,52413,80,TCP,1.272501294414447,7013,79.88626928043595,37.323416437161704,106.45247846030483,12.60277888430138,6.446527291658663e-06,9.271317394188783e-06,0.0006125420770615799,0.0004334833584320394,5107,502,0,1535,107,35,0,0,1,0,285660.28821308655,32.54292567140348,149556.14060910037,0,1
172.16.11.168,10.0.0.122,5078,80,TCP,1.7149227279560901,6979,70.95402474550299,42.55749787680931,155.52992900039075,26.296166198933996,6.658699190636977e-05,6.178511139964916e-06,0.0002965845248653241,0.00014047409020363847,5023,483,0,1469,97,38,0,0,1,0,337975.7443743054,54.94705653775033,165003.7682215909,0,1
172.16.72.76,10.0.0.195,63263,80,TCP,0.47286686174171466,6914,52.589914902472614,49.675770200301145,134.2626428002631,25.732204352003638,1.1542613293103833e-05,1.7643913199660883e-05,0.0013947876580584736,2.858236465465313e-05,4881,470,0,1526,104,49,0,0,1,0,285412.0683870731,53.83435031403644,146000.38428355445,0,1
172.16.89.201,10.0.0.115,1959,80,TCP,0.33854460080710647,6986,62.884911728570565,44.07750511222131,141.74131591717833,15.133105809864826,2.8573705978576887e-05,1.7693878838442363e-05,0.0007192339863118927,7.73045687086042e-05,4965,511,0,1507,110,45,0,0,1,0,297008.6928235048,45.90691525904279,12099.982699549117,0,1
172.16.9.96,10.0.0.158,45964,80,TCP,1.9306119002012223,6879,55.950335191474394,39.759557463346134,157.33081718557207,25.0356666823658,3.8117641381441286e-05,1.23576906273711e-05,0.0003869199516115783,0.0004845414052653861,4974,503,0,1413,113,38,0,0,1,0,324678.0102167146,60.05924511796417,103256.6033985309,0,1
172.16.248.226,10.0.0.168,23802,80,TCP,0.3052846628151735,7055,60.12300083591439,39.08424764473352,105.76839500972898,21.680724815131143,0.00016545729630086434,1.1138012766315977e-06,0.000906464457628933,0.0001948628093585944,5017,515,0,1535,122,46,0,0,1,0,314544.8528795003,38.725039010469615,179772.60081696056,0,1
172.16.175.20,10.0.0.167,58067,80,TCP,1.0091330332036594,7076,59.86384334370357,38.21663432910064,127.28348842587074,18.86261870023296,0.00020833584057535872,1.8254436356623234e-05,0.0054571846306338215,1.0243911354619709e-05,4979,516,0,1424,95,61,0,0,1,0,200223.41097741306,61.27908993253569,86121.89130065928,0,1
172.16.38.60,10.0.0.120,44322,80,TCP,1.2125710847072737,6995,59.22354417395995,45.903204562260726,117.3709089728157,15.880322565140002,3.602044760747379e-05,1.1117369835024395e-05,0.0005713938673968527,0.00012254416080774894,4939,490,0,1536,97,39,0,0,1,0,243937.8129952804,51.54493665595251,103960.9805981671,0,1
172.16.65.65,10.0.0.177,64132,80,TCP,1.1286113997241327,7076,51.44864628026605,36.863432770243485,96.64281149269088,16.40445274275407,0.0001956856693163304,1.1941022324431974e-05,0.0025344087171109667,4.240052989949715e-05,4962,458,0,1493,98,68,0,0,1,0,346470.4992395408,46.63447410121827,61316.01287606566,0,1
172.16.178.124,10.0.0.194,49352,80,TCP,0.26346109836259207,6953,62.7234531848181,40.22611354499991,134.9341995520984,30.24906047892963,0.00019465269007961112,4.509586856313102e-06,0.0004231457534858858,7.006751934724462e-07,5018,469,0,1495,91,49,0,0,1,0,293393.17055492266,49.80126364631688,75227.59764356403,0,1
172.16.163.152,10.0.0.177,49948,80,TCP,0.2083511366068768,6906,58.3939236315269,40.255989509405424,178.23113103168848,20.003414094787413,0.0001446685549319785,2.1142777878974825e-05,5.628754166803198e-05,5.166441335557823e-05,4975,523,0,1506,94,45,0,0,1,0,273813.4348614289,48.92735234189058,3498.164340451963,0,1
172.16.245.155,10.0.0.169,17733,80,TCP,0.30041851217596777,7047,34.705513099977324,37.49107903594234,91.19844510988494,23.910650007657296,1.586383674688608e-05,1.2923363686902943e-05,0.0002284602931310627,2.6755847931766848e-05,4941,493,0,1483,89,51,0,0,1,0,232071.29923712628,62.20282896417717,101877.48936881084,0,1
172.16.129.159,10.0.0.111,10750,80,TCP,1.2126165993579638,6981,84.52972024501663,33.13767226057949,127.3543877790106,16.045503091662233,0.00011722249657953293,1.1944869694560364e-06,0.0005424799494631557,0.00017085362461043778,5060,527,0,1488,97,59,0,0,1,0,246013.18393620758,39.23320872528986,8495.590498342368,0,1
192.168.100.50,10.0.0.222,59091,135,TCP,0.46031835629275114,11,54.20699631018479,37.91284809005284,98.49286419142442,14.11518943615016,0.0009822978531124464,0.0009889433220666194,0.0138550386117638,0.0028540131486564867,14,0,0,5,2,2,0,1,0,0,1058.1929460274887,88.00355953360301,118.46005113627027,0,1
192.168.100.50,10.0.0.243,47959,445,TCP,0.24760879736218272,15,44.220792231672895,41.72026960781733,99.13913945497687,29.102719539709078,0.00016812085040206675,0.001771601571003615,0.0471318443648194,0.04424012812043892,8,0,0,8,2,1,0,1,0,0,898.5982681459889,68.82426009952317,1.625606309609855,0,1
192.168.100.50,10.0.0.223,43933,139,TCP,0.06797658797874245,11,58.81146720813369,41.74170869623063,106.15825127991425,17.168027043926383,0.020677838711032667,0.0005372171396421201,0.010441220131407043,0.004932964606407559,5,0,0,9,1,4,0,1,0,0,897.2198746702313,116.38746536278813,46.62620455388791,0,1
192.168.100.50,10.0.0.64,43385,135,TCP,0.2130320705000922,16,50.01325688734407,35.51084966787185,96.5339578381348,24.158083930902016,0.0026980929597487558,0.0002988110088127895,0.09753882002453511,0.013190571069917872,10,0,0,8,4,3,0,1,0,0,760.2097204012248,108.47778964887972,43.34168710756764,0,1
